id,name,role,team
1,Marco Bernasocchi,CEO | Co-founder,Leadership
2,Matthias Kuhn,CTO | Co-founder,Leadership
3,Denis Rouzaud,,QGIS & Industry Solutions
4,David Signer,,QGIS & Industry Solutions
5,Damiano Lombardi,,QGIS & Industry Solutions
6,Michael Schmuki,,QGIS & Industry Solutions
7,Germán Carrillo,,QGIS & Industry Solutions
8,Aurèle Ferotin,,QGIS & Industry Solutions
9,Valentin Buira,,QGIS & Industry Solutions
10,Isabel Kiefer,,Consulting
11,Linda Indra-Camathias,,Consulting
12,Lucie Nicolier,,Consulting
13,Alexandra Erbach,,Consulting
14,Stéphane Henriod,,Consulting
15,Tobias Heini,,Consulting
16,Clemens Rudert,,GDI & Web Applications
17,Didier Dupertuis,,GDI & Web Applications
18,Ben Koch,,GDI & Web Applications
19,Patricia Moll,,GDI & Web Applications
20,Lukas Graf,,GDI & Web Applications
21,Eliane Bernasocchi,,QField
22,Ivan Ivanov,,QField
23,Zsanett Medvei,,QField
24,Mathieu Pellerin,,QField
25,Berit Mohr,,QField
26,Johnny Sequeira,,QField
27,Mohsen Dehghanzadeh,,QField
28,Guilhem Allaman,,QField
29,Daniel O'Donohue,,QField
30,Tobias König,,QField
31,Rakan Farhouda,,QField
32,Anna Randegger,,Team 42 (Backoffice & Support)
33,Chantal Widmer,,Team 42 (Backoffice & Support)
34,Naémi Meisser,,Team 42 (Backoffice & Support)
35,Anja Ottiger,,Team 42 (Backoffice & Support)
36,Molly O'Mara,,Team 42 (Backoffice & Support)
