company,developer,feature_count
3Liz,René-Luc D'Hont,2
Faunalia,Matteo Ghetta,4
Hytech-imaging,Paul Blottiere,1
Kartoza,Etienne Trimaille,4
Kartoza,Muhammad Yarjuna Rohmat,2
Kartoza,Nyall Dawson,1
Kartoza,Samweli Mwakisambwe,4
Lutra Consulting,Alexander Bruy,1
Lutra Consulting,Martin Dobias,41
Lutra Consulting,Nedjima Belgacem,8
Lutra Consulting,Peter Petrik,19
Lutra Consulting,Stefanos Natsis,16
Lutra Consulting,Viktor Sklencar,1
Lutra Consulting,Vincent Cloarec,44
North Road,Nyall Dawson,367
OPENGIS.ch,David Signer,13
OPENGIS.ch,Denis Rouzaud,2
OPENGIS.ch,Germán Carrillo,3
OPENGIS.ch,Marco Bernasocchi,1
OPENGIS.ch,Mathieu Pellerin,5
OPENGIS.ch,Matthias Kuhn,20
OPENGIS.ch,Olivier Dalang,1
Oslandia,Hugo Mercier,1
Oslandia,Jacky Volpes,6
Oslandia,Jean Felder,6
Oslandia,Julien Cabieces,12
Oslandia,Loïc Bartoletti,10
Oslandia,Paul Blottiere,3
QCooperative,Alessandro Pasotti,7
QCooperative,Alexander Bruy,2
Spatialys,Even Rouault,8
strk,Sandro Santilli,6
